id,user_id,event_id,number_of_people
1,4,8,2
2,7,15,3
3,10,22,4
4,13,29,5
5,16,36,6
6,19,43,7
7,22,50,8
8,25,57,9
9,28,64,10
10,31,71,1
11,34,78,2
12,37,85,3
13,40,92,4
14,43,99,5
15,46,6,6
16,49,13,7
17,52,20,8
18,55,27,9
19,58,34,10
20,61,41,1
21,64,48,2
22,67,55,3
23,70,62,4
24,73,69,5
25,76,76,6
26,79,83,7
27,82,90,8
28,85,97,9
29,88,4,10
30,91,11,1
31,94,18,2
32,97,25,3
33,100,32,4
34,3,39,5
35,6,46,6
36,9,53,7
37,12,60,8
38,15,67,9
39,18,74,10
40,21,81,1
41,24,88,2
42,27,95,3
43,30,2,4
44,33,9,5
45,36,16,6
46,39,23,7
47,42,30,8
48,45,37,9
49,48,44,10
50,51,51,1
51,54,58,2
52,57,65,3
53,60,72,4
54,63,79,5
55,66,86,6
56,69,93,7
57,72,100,8
58,75,7,9
59,78,14,10
60,81,21,1
61,84,28,2
62,87,35,3
63,90,42,4
64,93,49,5
65,96,56,6
66,99,63,7
67,2,70,8
68,5,77,9
69,8,84,10
70,11,91,1
71,14,98,2
72,17,5,3
73,20,12,4
74,23,19,5
75,26,26,6
76,29,33,7
77,32,40,8
78,35,47,9
79,38,54,10
80,41,61,1
81,44,68,2
82,47,75,3
83,50,82,4
84,53,89,5
85,56,96,6
86,59,3,7
87,62,10,8
88,65,17,9
89,68,24,10
90,71,31,1
91,74,38,2
92,77,45,3
93,80,52,4
94,83,59,5
95,86,66,6
96,89,73,7
97,92,80,8
98,95,87,9
99,98,94,10
100,1,1,1

