id,name,address,city,state,zip,phone,capacity,website
1,"Venue 1","Address 1 Main Street","City 1","State 1","ZIP00001","555-010-0001",101,"http://venue1.example.com"
2,"Venue 2","Address 2 Main Street","City 2","State 2","ZIP00002","555-010-0002",102,"http://venue2.example.com"
3,"Venue 3","Address 3 Main Street","City 3","State 3","ZIP00003","555-010-0003",103,"http://venue3.example.com"
4,"Venue 4","Address 4 Main Street","City 4","State 4","ZIP00004","555-010-0004",104,"http://venue4.example.com"
5,"Venue 5","Address 5 Main Street","City 5","State 5","ZIP00005","555-010-0005",105,"http://venue5.example.com"
6,"Venue 6","Address 6 Main Street","City 6","State 1","ZIP00006","555-010-0006",106,"http://venue6.example.com"
7,"Venue 7","Address 7 Main Street","City 7","State 2","ZIP00007","555-010-0007",107,"http://venue7.example.com"
8,"Venue 8","Address 8 Main Street","City 8","State 3","ZIP00008","555-010-0008",108,"http://venue8.example.com"
9,"Venue 9","Address 9 Main Street","City 9","State 4","ZIP00009","555-010-0009",109,"http://venue9.example.com"
10,"Venue 10","Address 10 Main Street","City 10","State 5","ZIP00010","555-010-0010",110,"http://venue10.example.com"
11,"Venue 11","Address 11 Main Street","City 1","State 1","ZIP00011","555-010-0011",111,"http://venue11.example.com"
12,"Venue 12","Address 12 Main Street","City 2","State 2","ZIP00012","555-010-0012",112,"http://venue12.example.com"
13,"Venue 13","Address 13 Main Street","City 3","State 3","ZIP00013","555-010-0013",113,"http://venue13.example.com"
14,"Venue 14","Address 14 Main Street","City 4","State 4","ZIP00014","555-010-0014",114,"http://venue14.example.com"
15,"Venue 15","Address 15 Main Street","City 5","State 5","ZIP00015","555-010-0015",115,"http://venue15.example.com"
16,"Venue 16","Address 16 Main Street","City 6","State 1","ZIP00016","555-010-0016",116,"http://venue16.example.com"
17,"Venue 17","Address 17 Main Street","City 7","State 2","ZIP00017","555-010-0017",117,"http://venue17.example.com"
18,"Venue 18","Address 18 Main Street","City 8","State 3","ZIP00018","555-010-0018",118,"http://venue18.example.com"
19,"Venue 19","Address 19 Main Street","City 9","State 4","ZIP00019","555-010-0019",119,"http://venue19.example.com"
20,"Venue 20","Address 20 Main Street","City 10","State 5","ZIP00020","555-010-0020",120,"http://venue20.example.com"
21,"Venue 21","Address 21 Main Street","City 1","State 1","ZIP00021","555-010-0021",121,"http://venue21.example.com"
22,"Venue 22","Address 22 Main Street","City 2","State 2","ZIP00022","555-010-0022",122,"http://venue22.example.com"
23,"Venue 23","Address 23 Main Street","City 3","State 3","ZIP00023","555-010-0023",123,"http://venue23.example.com"
24,"Venue 24","Address 24 Main Street","City 4","State 4","ZIP00024","555-010-0024",124,"http://venue24.example.com"
25,"Venue 25","Address 25 Main Street","City 5","State 5","ZIP00025","555-010-0025",125,"http://venue25.example.com"
26,"Venue 26","Address 26 Main Street","City 6","State 1","ZIP00026","555-010-0026",126,"http://venue26.example.com"
27,"Venue 27","Address 27 Main Street","City 7","State 2","ZIP00027","555-010-0027",127,"http://venue27.example.com"
28,"Venue 28","Address 28 Main Street","City 8","State 3","ZIP00028","555-010-0028",128,"http://venue28.example.com"
29,"Venue 29","Address 29 Main Street","City 9","State 4","ZIP00029","555-010-0029",129,"http://venue29.example.com"
30,"Venue 30","Address 30 Main Street","City 10","State 5","ZIP00030","555-010-0030",130,"http://venue30.example.com"
31,"Venue 31","Address 31 Main Street","City 1","State 1","ZIP00031","555-010-0031",131,"http://venue31.example.com"
32,"Venue 32","Address 32 Main Street","City 2","State 2","ZIP00032","555-010-0032",132,"http://venue32.example.com"
33,"Venue 33","Address 33 Main Street","City 3","State 3","ZIP00033","555-010-0033",133,"http://venue33.example.com"
34,"Venue 34","Address 34 Main Street","City 4","State 4","ZIP00034","555-010-0034",134,"http://venue34.example.com"
35,"Venue 35","Address 35 Main Street","City 5","State 5","ZIP00035","555-010-0035",135,"http://venue35.example.com"
36,"Venue 36","Address 36 Main Street","City 6","State 1","ZIP00036","555-010-0036",136,"http://venue36.example.com"
37,"Venue 37","Address 37 Main Street","City 7","State 2","ZIP00037","555-010-0037",137,"http://venue37.example.com"
38,"Venue 38","Address 38 Main Street","City 8","State 3","ZIP00038","555-010-0038",138,"http://venue38.example.com"
39,"Venue 39","Address 39 Main Street","City 9","State 4","ZIP00039","555-010-0039",139,"http://venue39.example.com"
40,"Venue 40","Address 40 Main Street","City 10","State 5","ZIP00040","555-010-0040",140,"http://venue40.example.com"
41,"Venue 41","Address 41 Main Street","City 1","State 1","ZIP00041","555-010-0041",141,"http://venue41.example.com"
42,"Venue 42","Address 42 Main Street","City 2","State 2","ZIP00042","555-010-0042",142,"http://venue42.example.com"
43,"Venue 43","Address 43 Main Street","City 3","State 3","ZIP00043","555-010-0043",143,"http://venue43.example.com"
44,"Venue 44","Address 44 Main Street","City 4","State 4","ZIP00044","555-010-0044",144,"http://venue44.example.com"
45,"Venue 45","Address 45 Main Street","City 5","State 5","ZIP00045","555-010-0045",145,"http://venue45.example.com"
46,"Venue 46","Address 46 Main Street","City 6","State 1","ZIP00046","555-010-0046",146,"http://venue46.example.com"
47,"Venue 47","Address 47 Main Street","City 7","State 2","ZIP00047","555-010-0047",147,"http://venue47.example.com"
48,"Venue 48","Address 48 Main Street","City 8","State 3","ZIP00048","555-010-0048",148,"http://venue48.example.com"
49,"Venue 49","Address 49 Main Street","City 9","State 4","ZIP00049","555-010-0049",149,"http://venue49.example.com"
50,"Venue 50","Address 50 Main Street","City 10","State 5","ZIP00050","555-010-0050",150,"http://venue50.example.com"
51,"Venue 51","Address 51 Main Street","City 1","State 1","ZIP00051","555-010-0051",151,"http://venue51.example.com"
52,"Venue 52","Address 52 Main Street","City 2","State 2","ZIP00052","555-010-0052",152,"http://venue52.example.com"
53,"Venue 53","Address 53 Main Street","City 3","State 3","ZIP00053","555-010-0053",153,"http://venue53.example.com"
54,"Venue 54","Address 54 Main Street","City 4","State 4","ZIP00054","555-010-0054",154,"http://venue54.example.com"
55,"Venue 55","Address 55 Main Street","City 5","State 5","ZIP00055","555-010-0055",155,"http://venue55.example.com"
56,"Venue 56","Address 56 Main Street","City 6","State 1","ZIP00056","555-010-0056",156,"http://venue56.example.com"
57,"Venue 57","Address 57 Main Street","City 7","State 2","ZIP00057","555-010-0057",157,"http://venue57.example.com"
58,"Venue 58","Address 58 Main Street","City 8","State 3","ZIP00058","555-010-0058",158,"http://venue58.example.com"
59,"Venue 59","Address 59 Main Street","City 9","State 4","ZIP00059","555-010-0059",159,"http://venue59.example.com"
60,"Venue 60","Address 60 Main Street","City 10","State 5","ZIP00060","555-010-0060",160,"http://venue60.example.com"
61,"Venue 61","Address 61 Main Street","City 1","State 1","ZIP00061","555-010-0061",161,"http://venue61.example.com"
62,"Venue 62","Address 62 Main Street","City 2","State 2","ZIP00062","555-010-0062",162,"http://venue62.example.com"
63,"Venue 63","Address 63 Main Street","City 3","State 3","ZIP00063","555-010-0063",163,"http://venue63.example.com"
64,"Venue 64","Address 64 Main Street","City 4","State 4","ZIP00064","555-010-0064",164,"http://venue64.example.com"
65,"Venue 65","Address 65 Main Street","City 5","State 5","ZIP00065","555-010-0065",165,"http://venue65.example.com"
66,"Venue 66","Address 66 Main Street","City 6","State 1","ZIP00066","555-010-0066",166,"http://venue66.example.com"
67,"Venue 67","Address 67 Main Street","City 7","State 2","ZIP00067","555-010-0067",167,"http://venue67.example.com"
68,"Venue 68","Address 68 Main Street","City 8","State 3","ZIP00068","555-010-0068",168,"http://venue68.example.com"
69,"Venue 69","Address 69 Main Street","City 9","State 4","ZIP00069","555-010-0069",169,"http://venue69.example.com"
